index,class,time,state,score,title_ID,method,memory,timeconsume,student_ID,major,knowledge
0,Class3,2024/1/2 21:19,Absolutely_Correct,3,Question_bumGRTJ0c8p4v5D6eHZa,Method_m8vwGkEZc3TSW2xqYUoR,336,2,4c90f16c0fcd85d3de25,J23517,b3C9s
1,Class3,2024/1/2 21:19,Absolutely_Correct,3,Question_hZ5wXofebmTlzKB1jNcP,Method_m8vwGkEZc3TSW2xqYUoR,316,2,4c90f16c0fcd85d3de25,J23517,b3C9s
2,Class3,2024/1/2 21:18,Absolutely_Correct,4,Question_FNg8X9v5zcbB1tQrxHR3,Method_m8vwGkEZc3TSW2xqYUoR,444,2,4c90f16c0fcd85d3de25,J23517,b3C9s
3,Class3,2024/1/2 21:18,Absolutely_Correct,3,Question_xqlJkmRaP0otZcX4fK3W,Method_m8vwGkEZc3TSW2xqYUoR,312,2,4c90f16c0fcd85d3de25,J23517,g7R2j
4,Class3,2024/1/2 21:18,Absolutely_Correct,3,Question_YWXHr4G6Cl7bEm9iF2kQ,Method_BXr9AIsPQhwNvyGdZL57,328,3,4c90f16c0fcd85d3de25,J23517,g7R2j
5,Class3,2024/1/2 21:17,Absolutely_Correct,3,Question_5fgqjSBwTPG7KUV3it6O,Method_Cj9Ya2R7fZd6xs1q5mNQ,320,3,4c90f16c0fcd85d3de25,J23517,g7R2j
6,Class3,2024/1/2 20:53,Absolutely_Correct,3,Question_Az73sM0rHfWVKuc4X2kL,Method_5Q4KoXthUuYz3bvrTDFm,328,2,4c90f16c0fcd85d3de25,J23517,y9W5d
7,Class3,2024/1/1 18:08,Absolutely_Correct,3,Question_YWXHr4G6Cl7bEm9iF2kQ,Method_5Q4KoXthUuYz3bvrTDFm,324,2,2b9ef4e3749f713870b0,J40192,g7R2j
8,Class3,2024/1/1 18:07,Absolutely_Correct,3,Question_Mh4CZIsrEfxkP1wXtOYV,Method_5Q4KoXthUuYz3bvrTDFm,184,2,2b9ef4e3749f713870b0,J40192,y9W5d
9,Class3,2024/1/1 18:04,Absolutely_Correct,3,Question_n2BTxIGw1Mc3Zo6RLdUe,Method_Cj9Ya2R7fZd6xs1q5mNQ,184,2,2b9ef4e3749f713870b0,J40192,m3D1v
10,Class3,2024/1/1 18:04,Error8,0,Question_n2BTxIGw1Mc3Zo6RLdUe,Method_BXr9AIsPQhwNvyGdZL57,184,2,2b9ef4e3749f713870b0,J40192,m3D1v
11,Class3,2024/1/1 18:04,Error8,0,Question_n2BTxIGw1Mc3Zo6RLdUe,Method_BXr9AIsPQhwNvyGdZL57,324,3,2b9ef4e3749f713870b0,J40192,m3D1v
12,Class3,2024/1/1 18:03,Error1,0,Question_n2BTxIGw1Mc3Zo6RLdUe,Method_gj1NLb4Jn7URf9K2kQPd,0,4,2b9ef4e3749f713870b0,J40192,m3D1v
13,Class3,2024/1/1 18:02,Error1,0,Question_n2BTxIGw1Mc3Zo6RLdUe,Method_m8vwGkEZc3TSW2xqYUoR,0,3,2b9ef4e3749f713870b0,J40192,m3D1v
14,Class3,2024/1/1 18:01,Error1,0,Question_n2BTxIGw1Mc3Zo6RLdUe,Method_5Q4KoXthUuYz3bvrTDFm,0,5,2b9ef4e3749f713870b0,J40192,m3D1v
15,Class3,2024/1/1 18:00,Error1,0,Question_n2BTxIGw1Mc3Zo6RLdUe,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,4,2b9ef4e3749f713870b0,J40192,m3D1v
16,Class3,2024/1/1 18:00,Error1,0,Question_n2BTxIGw1Mc3Zo6RLdUe,Method_BXr9AIsPQhwNvyGdZL57,0,4,2b9ef4e3749f713870b0,J40192,m3D1v
17,Class3,2024/1/1 17:59,Error1,0,Question_n2BTxIGw1Mc3Zo6RLdUe,Method_5Q4KoXthUuYz3bvrTDFm,0,5,2b9ef4e3749f713870b0,J40192,m3D1v
18,Class3,2024/1/1 17:59,Error1,0,Question_n2BTxIGw1Mc3Zo6RLdUe,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,2,2b9ef4e3749f713870b0,J40192,m3D1v
19,Class3,2024/1/1 17:58,Error1,0,Question_n2BTxIGw1Mc3Zo6RLdUe,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,3,2b9ef4e3749f713870b0,J40192,m3D1v
20,Class3,2024/1/1 17:58,Error1,0,Question_n2BTxIGw1Mc3Zo6RLdUe,Method_gj1NLb4Jn7URf9K2kQPd,0,4,2b9ef4e3749f713870b0,J40192,m3D1v
21,Class3,2024/1/1 17:57,Absolutely_Correct,3,Question_x2Fy7rZ3SwYl9jMQkpOD,Method_m8vwGkEZc3TSW2xqYUoR,360,2,2b9ef4e3749f713870b0,J40192,y9W5d
21,Class3,2024/1/1 17:57,Absolutely_Correct,3,Question_x2Fy7rZ3SwYl9jMQkpOD,Method_m8vwGkEZc3TSW2xqYUoR,360,2,2b9ef4e3749f713870b0,J40192,s8Y2f
22,Class3,2024/1/1 17:56,Error1,0,Question_x2Fy7rZ3SwYl9jMQkpOD,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,5,2b9ef4e3749f713870b0,J40192,y9W5d
22,Class3,2024/1/1 17:56,Error1,0,Question_x2Fy7rZ3SwYl9jMQkpOD,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,5,2b9ef4e3749f713870b0,J40192,s8Y2f
23,Class3,2024/1/1 17:54,Error1,0,Question_x2Fy7rZ3SwYl9jMQkpOD,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,2,2b9ef4e3749f713870b0,J40192,y9W5d
23,Class3,2024/1/1 17:54,Error1,0,Question_x2Fy7rZ3SwYl9jMQkpOD,Method_Cj9Ya2R7fZd6xs1q5mNQ,0,2,2b9ef4e3749f713870b0,J40192,s8Y2f
24,Class3,2024/1/1 14:45,Absolutely_Correct,4,Question_FNg8X9v5zcbB1tQrxHR3,Method_m8vwGkEZc3TSW2xqYUoR,328,3,b8290aea71e7a5421a02,J57489,b3C9s
25,Class3,2024/1/1 14:45,Absolutely_Correct,3,Question_hZ5wXofebmTlzKB1jNcP,Method_5Q4KoXthUuYz3bvrTDFm,360,2,b8290aea71e7a5421a02,J57489,b3C9s
26,Class3,2024/1/1 14:45,Absolutely_Correct,3,Question_bumGRTJ0c8p4v5D6eHZa,Method_BXr9AIsPQhwNvyGdZL57,328,2,b8290aea71e7a5421a02,J57489,b3C9s
27,Class3,2024/1/1 14:44,Absolutely_Correct,3,Question_xqlJkmRaP0otZcX4fK3W,Method_5Q4KoXthUuYz3bvrTDFm,200,2,b8290aea71e7a5421a02,J57489,g7R2j
28,Class3,2024/1/1 14:44,Absolutely_Correct,3,Question_YWXHr4G6Cl7bEm9iF2kQ,Method_BXr9AIsPQhwNvyGdZL57,200,2,b8290aea71e7a5421a02,J57489,g7R2j
29,Class3,2024/1/1 14:44,Absolutely_Correct,3,Question_X3wF8QlTyi4mZkDp9Kae,Method_gj1NLb4Jn7URf9K2kQPd,192,2,b8290aea71e7a5421a02,J57489,g7R2j
30,Class3,2024/1/1 14:44,Absolutely_Correct,3,Question_5fgqjSBwTPG7KUV3it6O,Method_BXr9AIsPQhwNvyGdZL57,316,2,b8290aea71e7a5421a02,J57489,g7R2j
31,Class3,2024/1/1 14:43,Absolutely_Error,0,Question_5fgqjSBwTPG7KUV3it6O,Method_Cj9Ya2R7fZd6xs1q5mNQ,320,2,b8290aea71e7a5421a02,J57489,g7R2j
